time_iso8601,forks_cumulative
2018-08-13 00:00:00+00:00,453
2018-08-18 00:00:00+00:00,454
2018-08-28 00:00:00+00:00,456
2018-09-26 00:00:00+00:00,457
2018-10-08 00:00:00+00:00,458
2018-10-09 00:00:00+00:00,459
2018-10-11 00:00:00+00:00,460
2018-10-16 00:00:00+00:00,461
2018-10-17 00:00:00+00:00,462
2018-10-29 00:00:00+00:00,463
2018-11-02 00:00:00+00:00,464
2018-11-11 00:00:00+00:00,465
2018-11-14 00:00:00+00:00,466
2018-11-20 00:00:00+00:00,468
2018-11-21 00:00:00+00:00,469
2018-11-22 00:00:00+00:00,470
2018-11-23 00:00:00+00:00,471
2018-12-07 00:00:00+00:00,472
2018-12-10 00:00:00+00:00,473
2018-12-12 00:00:00+00:00,474
2018-12-16 00:00:00+00:00,475
2018-12-26 00:00:00+00:00,476
2019-01-04 00:00:00+00:00,477
2019-01-11 00:00:00+00:00,478
2019-01-20 00:00:00+00:00,479
2019-02-15 00:00:00+00:00,480
2019-02-17 00:00:00+00:00,481
2019-02-21 00:00:00+00:00,482
2019-03-06 00:00:00+00:00,483
2019-03-09 00:00:00+00:00,484
2019-03-27 00:00:00+00:00,485
2019-03-28 00:00:00+00:00,486
2019-03-31 00:00:00+00:00,487
2019-04-06 00:00:00+00:00,488
2019-04-07 00:00:00+00:00,489
2019-04-17 00:00:00+00:00,490
2019-04-21 00:00:00+00:00,491
2019-04-22 00:00:00+00:00,492
2019-04-26 00:00:00+00:00,493
2019-05-06 00:00:00+00:00,494
2019-05-11 00:00:00+00:00,495
2019-05-17 00:00:00+00:00,496
2019-05-27 00:00:00+00:00,497
2019-06-12 00:00:00+00:00,498
2019-06-13 00:00:00+00:00,499
2019-07-14 00:00:00+00:00,500
2019-08-04 00:00:00+00:00,501
2019-08-06 00:00:00+00:00,502
2019-08-15 00:00:00+00:00,503
2019-08-29 00:00:00+00:00,504
2019-09-12 00:00:00+00:00,505
2019-09-16 00:00:00+00:00,506
2019-09-19 00:00:00+00:00,507
2019-09-24 00:00:00+00:00,508
2019-10-21 00:00:00+00:00,509
2019-10-22 00:00:00+00:00,510
2019-11-04 00:00:00+00:00,512
2019-11-06 00:00:00+00:00,513
2019-11-07 00:00:00+00:00,514
2019-12-14 00:00:00+00:00,515
2019-12-20 00:00:00+00:00,516
2019-12-22 00:00:00+00:00,517
2019-12-25 00:00:00+00:00,518
2019-12-31 00:00:00+00:00,519
2020-01-14 00:00:00+00:00,520
2020-01-15 00:00:00+00:00,521
2020-01-17 00:00:00+00:00,522
2020-01-22 00:00:00+00:00,523
2020-01-26 00:00:00+00:00,524
2020-02-18 00:00:00+00:00,525
2020-02-29 00:00:00+00:00,526
2020-03-01 00:00:00+00:00,527
2020-03-09 00:00:00+00:00,528
2020-03-31 00:00:00+00:00,529
2020-04-09 00:00:00+00:00,530
2020-04-10 00:00:00+00:00,531
2020-04-13 00:00:00+00:00,532
2020-04-20 00:00:00+00:00,533
2020-04-21 00:00:00+00:00,534
2020-04-23 00:00:00+00:00,535
2020-05-11 00:00:00+00:00,536
2020-05-14 00:00:00+00:00,537
2020-05-15 00:00:00+00:00,538
2020-06-19 00:00:00+00:00,539
2020-07-03 00:00:00+00:00,540
2020-07-11 00:00:00+00:00,541
2020-07-15 00:00:00+00:00,542
2020-07-30 00:00:00+00:00,543
2020-08-04 00:00:00+00:00,544
2020-08-10 00:00:00+00:00,545
2020-08-12 00:00:00+00:00,546
2020-08-20 00:00:00+00:00,547
2020-08-25 00:00:00+00:00,548
2020-08-30 00:00:00+00:00,549
2020-09-02 00:00:00+00:00,550
2020-09-14 00:00:00+00:00,551
2020-09-16 00:00:00+00:00,552
2020-09-20 00:00:00+00:00,554
2020-09-23 00:00:00+00:00,555
2020-09-24 00:00:00+00:00,556
2020-10-13 00:00:00+00:00,557
2020-10-24 00:00:00+00:00,558
2020-11-04 00:00:00+00:00,559
2020-11-23 00:00:00+00:00,560
2020-12-19 00:00:00+00:00,561
2020-12-24 00:00:00+00:00,562
2021-01-01 00:00:00+00:00,563
2021-01-20 00:00:00+00:00,564
2021-01-21 00:00:00+00:00,565
2021-01-25 00:00:00+00:00,566
2021-01-27 00:00:00+00:00,567
2021-01-30 00:00:00+00:00,568
2021-02-05 00:00:00+00:00,569
2021-03-02 00:00:00+00:00,570
2021-03-09 00:00:00+00:00,571
2021-03-20 00:00:00+00:00,572
2021-03-31 00:00:00+00:00,573
2021-04-02 00:00:00+00:00,574
2021-04-12 00:00:00+00:00,575
2021-04-16 00:00:00+00:00,576
2021-05-02 00:00:00+00:00,577
2021-05-12 00:00:00+00:00,578
2021-05-13 00:00:00+00:00,579
2021-05-26 00:00:00+00:00,580
2021-05-29 00:00:00+00:00,581
2021-06-02 00:00:00+00:00,582
2021-06-20 00:00:00+00:00,583
2021-06-22 00:00:00+00:00,584
2021-07-20 00:00:00+00:00,585
2021-08-07 00:00:00+00:00,586
2021-08-15 00:00:00+00:00,587
2021-09-10 00:00:00+00:00,588
2021-09-12 00:00:00+00:00,589
2021-10-25 00:00:00+00:00,590
2021-11-01 00:00:00+00:00,591
2021-11-02 00:00:00+00:00,592
2021-11-04 00:00:00+00:00,593
2021-11-05 00:00:00+00:00,594
2021-11-30 00:00:00+00:00,595
2021-12-17 00:00:00+00:00,596
2021-12-19 00:00:00+00:00,597
2022-01-05 00:00:00+00:00,598
2022-01-20 00:00:00+00:00,599
2022-02-10 00:00:00+00:00,600
2022-02-24 00:00:00+00:00,603
2022-02-25 00:00:00+00:00,604
2022-03-04 00:00:00+00:00,605
2022-03-06 00:00:00+00:00,606
2022-03-30 00:00:00+00:00,607
2022-04-01 00:00:00+00:00,608
2022-05-05 00:00:00+00:00,611
2022-05-19 00:00:00+00:00,612
2022-06-01 00:00:00+00:00,613
2022-06-07 00:00:00+00:00,614
2022-06-13 00:00:00+00:00,615
2022-06-28 00:00:00+00:00,616
2022-06-30 00:00:00+00:00,617
2022-07-06 00:00:00+00:00,618
2022-07-08 00:00:00+00:00,620
2022-07-23 00:00:00+00:00,621
2022-08-02 00:00:00+00:00,622
2022-08-21 00:00:00+00:00,623
2022-09-01 00:00:00+00:00,625
2022-09-28 00:00:00+00:00,626
2022-10-10 00:00:00+00:00,627
2022-10-11 00:00:00+00:00,628
2022-10-24 00:00:00+00:00,629
2022-11-11 00:00:00+00:00,630
2022-11-21 00:00:00+00:00,631
2022-12-05 00:00:00+00:00,632
2023-01-01 00:00:00+00:00,633
2023-01-30 00:00:00+00:00,634
2023-02-08 00:00:00+00:00,635
2023-03-18 00:00:00+00:00,636
2023-03-21 00:00:00+00:00,637
2023-04-07 00:00:00+00:00,638
2023-04-13 00:00:00+00:00,639
2023-04-14 00:00:00+00:00,640
2023-04-18 00:00:00+00:00,641
2023-05-14 00:00:00+00:00,642
2023-05-18 00:00:00+00:00,643
2023-05-25 00:00:00+00:00,644
2023-07-11 00:00:00+00:00,645
2023-08-06 00:00:00+00:00,646
2023-08-07 00:00:00+00:00,647
2023-08-08 00:00:00+00:00,648
2023-08-09 00:00:00+00:00,649
2023-08-10 00:00:00+00:00,650
2023-08-16 00:00:00+00:00,651
2023-08-20 00:00:00+00:00,652
2023-08-21 00:00:00+00:00,655
2023-08-22 00:00:00+00:00,656
2023-08-23 00:00:00+00:00,657
2023-08-24 00:00:00+00:00,658
2023-08-25 00:00:00+00:00,659
2023-08-27 00:00:00+00:00,661
2023-08-28 00:00:00+00:00,663
2023-08-29 00:00:00+00:00,664
2023-08-30 00:00:00+00:00,665
2023-09-02 00:00:00+00:00,666
2023-09-03 00:00:00+00:00,667
2023-09-04 00:00:00+00:00,668
2023-09-07 00:00:00+00:00,669
2023-09-08 00:00:00+00:00,670
2023-09-11 00:00:00+00:00,671
2023-09-14 00:00:00+00:00,673
2023-09-19 00:00:00+00:00,674
2023-09-30 00:00:00+00:00,676
2023-10-03 00:00:00+00:00,677
2023-10-08 00:00:00+00:00,679
2023-10-11 00:00:00+00:00,680
2023-10-17 00:00:00+00:00,681
2023-10-21 00:00:00+00:00,682
2023-10-24 00:00:00+00:00,683
2023-10-26 00:00:00+00:00,684
2023-10-27 00:00:00+00:00,685
2023-10-29 00:00:00+00:00,686
2023-11-08 00:00:00+00:00,687
2023-11-17 00:00:00+00:00,688
2023-11-22 00:00:00+00:00,689
2023-12-03 00:00:00+00:00,690
2023-12-13 00:00:00+00:00,691
2024-01-09 00:00:00+00:00,692
2024-01-18 00:00:00+00:00,693
2024-01-24 00:00:00+00:00,694
